age_collapsed,role,utterance_len,NOUN,VERB,ADJ,ADV,ADP,AUX,PRON,CCONJ,SCONJ,PROPN,PER,NOUN_freq,VERB_freq,ADJ_freq,ADV_freq,ADP_freq,AUX_freq,PRON_freq,CCONJ_freq,SCONJ_freq,PROPN_freq
208,child-directed,23438.0,658.0,820.0,196.0,342.0,246.0,558.0,1226.0,94.0,90.0,292.0,142.0,28.07,34.99,8.36,14.59,10.5,23.81,52.31,4.01,3.84,12.46
300,child,11416.0,430.0,406.0,110.0,154.0,123.0,177.0,552.0,23.0,54.0,187.0,103.0,37.67,35.56,9.64,13.49,10.77,15.5,48.35,2.01,4.73,16.38
300,child-directed,30587.0,921.0,1065.0,345.0,381.0,338.0,710.0,1403.0,168.0,135.0,302.0,201.0,30.11,34.82,11.28,12.46,11.05,23.21,45.87,5.49,4.41,9.87
301,child,19620.0,630.0,726.0,158.0,258.0,172.0,426.0,930.0,120.0,78.0,256.0,116.0,32.11,37.0,8.05,13.15,8.77,21.71,47.4,6.12,3.98,13.05
301,child-directed,42644.0,1214.0,1398.0,508.0,530.0,506.0,1030.0,2010.0,222.0,206.0,478.0,268.0,28.47,32.78,11.91,12.43,11.87,24.15,47.13,5.21,4.83,11.21
303,child,20668.0,576.0,790.0,138.0,290.0,208.0,410.0,1102.0,152.0,80.0,240.0,124.0,27.87,38.22,6.68,14.03,10.06,19.84,53.32,7.35,3.87,11.61
303,child-directed,31678.0,902.0,1070.0,376.0,322.0,302.0,808.0,1542.0,156.0,172.0,404.0,230.0,28.47,33.78,11.87,10.16,9.53,25.51,48.68,4.92,5.43,12.75
304,child,5744.0,246.0,182.0,62.0,68.0,44.0,108.0,270.0,26.0,26.0,78.0,42.0,42.83,31.69,10.79,11.84,7.66,18.8,47.01,4.53,4.53,13.58
304,child-directed,14928.0,468.0,474.0,158.0,174.0,182.0,384.0,736.0,66.0,68.0,134.0,82.0,31.35,31.75,10.58,11.66,12.19,25.72,49.3,4.42,4.56,8.98
305,child,26643.0,838.0,928.0,238.0,446.0,276.0,526.0,1343.0,144.0,134.0,350.0,198.0,31.45,34.83,8.93,16.74,10.36,19.74,50.41,5.4,5.03,13.14
305,child-directed,56534.0,1550.0,2026.0,584.0,832.0,655.0,1335.0,2623.0,371.0,322.0,588.0,395.0,27.42,35.84,10.33,14.72,11.59,23.61,46.4,6.56,5.7,10.4
306,child,26755.0,716.0,935.0,227.0,445.0,271.0,577.0,1487.0,231.0,103.0,319.0,195.0,26.76,34.95,8.48,16.63,10.13,21.57,55.58,8.63,3.85,11.92
306,child-directed,60044.0,1517.0,2175.0,525.0,1051.0,664.0,1445.0,3038.0,327.0,298.0,537.0,341.0,25.26,36.22,8.74,17.5,11.06,24.07,50.6,5.45,4.96,8.94
307,child,9148.0,242.0,311.0,79.0,210.0,120.0,213.0,437.0,39.0,54.0,121.0,63.0,26.45,34.0,8.64,22.96,13.12,23.28,47.77,4.26,5.9,13.23
307,child-directed,14825.0,465.0,454.0,141.0,179.0,158.0,368.0,660.0,48.0,105.0,185.0,101.0,31.37,30.62,9.51,12.07,10.66,24.82,44.52,3.24,7.08,12.48
311,child,2186.0,61.0,87.0,17.0,26.0,23.0,64.0,124.0,7.0,7.0,18.0,14.0,27.9,39.8,7.78,11.89,10.52,29.28,56.72,3.2,3.2,8.23
311,child-directed,4569.0,134.0,156.0,47.0,49.0,33.0,126.0,219.0,22.0,35.0,49.0,32.0,29.33,34.14,10.29,10.72,7.22,27.58,47.93,4.82,7.66,10.72
402,child,3849.0,128.0,165.0,34.0,34.0,43.0,68.0,200.0,16.0,28.0,65.0,33.0,33.26,42.87,8.83,8.83,11.17,17.67,51.96,4.16,7.27,16.89
402,child-directed,13302.0,377.0,475.0,115.0,177.0,157.0,258.0,614.0,69.0,83.0,185.0,122.0,28.34,35.71,8.65,13.31,11.8,19.4,46.16,5.19,6.24,13.91
403,child,9430.0,285.0,355.0,94.0,109.0,122.0,210.0,478.0,78.0,50.0,98.0,35.0,30.22,37.65,9.97,11.56,12.94,22.27,50.69,8.27,5.3,10.39
403,child-directed,31687.0,951.0,1051.0,400.0,414.0,393.0,663.0,1495.0,199.0,177.0,260.0,152.0,30.01,33.17,12.62,13.07,12.4,20.92,47.18,6.28,5.59,8.21
407,child,6839.0,227.0,257.0,54.0,97.0,88.0,154.0,346.0,36.0,44.0,65.0,20.0,33.19,37.58,7.9,14.18,12.87,22.52,50.59,5.26,6.43,9.5
407,child-directed,17319.0,564.0,601.0,173.0,204.0,206.0,363.0,755.0,92.0,90.0,154.0,54.0,32.57,34.7,9.99,11.78,11.89,20.96,43.59,5.31,5.2,8.89
410,child,11996.0,318.0,501.0,123.0,175.0,156.0,272.0,649.0,45.0,49.0,83.0,30.0,26.51,41.76,10.25,14.59,13.0,22.67,54.1,3.75,4.08,6.92
410,child-directed,24924.0,619.0,903.0,354.0,324.0,312.0,623.0,1222.0,115.0,136.0,180.0,74.0,24.84,36.23,14.2,13.0,12.52,25.0,49.03,4.61,5.46,7.22
510,child,2342.0,53.0,86.0,18.0,29.0,31.0,51.0,131.0,17.0,12.0,17.0,9.0,22.63,36.72,7.69,12.38,13.24,21.78,55.94,7.26,5.12,7.26
510,child-directed,1820.0,47.0,66.0,20.0,33.0,17.0,47.0,87.0,7.0,11.0,7.0,4.0,25.82,36.26,10.99,18.13,9.34,25.82,47.8,3.85,6.04,3.85
604,child,6858.0,212.0,252.0,69.0,133.0,99.0,109.0,340.0,66.0,34.0,35.0,10.0,30.91,36.75,10.06,19.39,14.44,15.89,49.58,9.62,4.96,5.1
604,child-directed,10832.0,325.0,380.0,144.0,107.0,166.0,209.0,446.0,39.0,76.0,77.0,36.0,30.0,35.08,13.29,9.88,15.32,19.29,41.17,3.6,7.02,7.11
605,child,1462.0,44.0,56.0,9.0,22.0,30.0,34.0,63.0,14.0,6.0,8.0,3.0,30.1,38.3,6.16,15.05,20.52,23.26,43.09,9.58,4.1,5.47
605,child-directed,1238.0,39.0,38.0,8.0,17.0,28.0,24.0,49.0,4.0,6.0,7.0,6.0,31.5,30.69,6.46,13.73,22.62,19.39,39.58,3.23,4.85,5.65
700,child,2769.0,66.0,101.0,24.0,53.0,22.0,82.0,168.0,15.0,19.0,15.0,3.0,23.84,36.48,8.67,19.14,7.95,29.61,60.67,5.42,6.86,5.42
700,child-directed,3175.0,77.0,106.0,27.0,49.0,44.0,96.0,147.0,10.0,17.0,19.0,6.0,24.25,33.39,8.5,15.43,13.86,30.24,46.3,3.15,5.35,5.98
